registered_name,gender,time,zwid,team,zp_name,points
Ollie Fussell,1,607.981,1976644,,Ollie Fussell (SDW YOUTH),20
Nathan Tully,1,640.334,2757731,,Nathan Tully (SDW Youth),15
Henry Bottoms,1,654.959,3199370,,Henry Bottoms (SDW YOUTH),10
Ladean Unser,2,667.838,86000,,Ladean Unser [WTRL] (DraftingDinos2),20
Pierre-Alexandre TARRIEU,1,672.713,3314041,,Pierre-Alexandre Tarrieu,6
Amy Morris,2,679.74,2733583,,Amy Morris23 [WTRL] (DraftingDinos2),15
Andrew Hayton,1,694.384,509608,,Andrew Hayton (ART Nuclear),4
Dorothy Gibson,2,705.418,143477,,dottie g 2156 [WTRL](DDUK),10
Hilda van der Veen,2,716.913,1058200,,Dalih (Vegan Dolphins),8
Fiona Thomson,2,722.476,533788,,Fiona Thomson (CMA),6
