registered_name,gender,time,zwid,team,zp_name,points
Chantale Bouchard,2,445.192,224992,,Chalou (Vegan CocoNuts),20
Evelien Bunnik,2,445.938,1421324,,Evelien Bunnik &#127793; &#128007; (Vegan Wasabi),15
Nadezda Polakova,2,471.357,189794,,Nada 78 &#127793; (Vegan Coconuts),10
Michelle Gates,2,484.454,1375409,,Michelle Gates &#9419; (Vegan Wasabi),8
Val Cummings,2,484.783,2990367,,Val Cummings &#9419; (Vegan Wasabi) ,6
Morgan Bennett,2,486.765,1665071,,Morgan Bennett (Vegan CocoNuts),5
Ruth Breeze,2,488.899,1406512,,Ruth Breeze,4
Cath Walls,2,500.126,2956232,,Cath Walls (TEAM VEGAN),3
Allison Gates,2,501.997,1375378,,Allison Gates &#9419; (Vegan Wasabi),2
Mary Dootson,2,508.095,2650031,,Mary Dootson &#128039; (R3R A-ha) ,1
