registered_name,gender,time,zwid,team,zp_name,points
Jimbo V,1,21.04,3297493,,Jimbo Viny (TFC),12
Mark Kassels,1,21.448,1554576,,Mark Kassels(TT1 Humalogs)9115,10
Ollie Fussell,1,22.165,1976644,,Ollie Fussell (SDW YOUTH),8
Gary Laverick,1,22.598,2566486,,Gary Laverick,7
Henry Bottoms,1,22.917,3199370,,Henry Bottoms (SDW YOUTH),6
Ryan Biegen,1,23.256,2952708,,Ryan Biegen TT1D (TT1 Gluconauts),5
Tim Coppens,1,23.518,2139446,,Tim Coppens&#127793; [Team Vegan],4
Nathan Tully,1,23.724,2757731,,Nathan Tully (SDW Youth),3
Sam Brooker,1,23.82,2470984,,Sam Brooker (TT1 A1Cs) ,2
Leo Hughes,1,25.615,2403581,,Leo Hughes [SDW] Youth,1
